Voltage, ChB, Run #4
Time ( s )	Voltage ( V )
27,7000	0,275
27,7250	0,283
27,7500	0,284
27,7750	0,281
27,8000	0,283
27,8250	0,283
27,8500	0,282
27,8750	0,279
27,9000	0,279
27,9250	0,285
27,9500	0,286
27,9750	0,286
28,0000	0,289
28,0250	0,285
28,0500	0,288
28,0750	0,277
28,1000	0,275
28,1250	0,286
28,1500	0,285
28,1750	0,283
28,2000	0,284
28,2250	0,291
28,2500	0,293
28,2750	0,285
28,3000	0,287
28,3250	0,292
28,3500	0,294
28,3750	0,287
28,4000	0,286
28,4250	0,294
28,4500	0,292
28,4750	0,292
28,5000	0,292
28,5250	0,292
28,5500	0,293
28,5750	0,287
28,6000	0,287
28,6250	0,292
28,6500	0,292
28,6750	0,287
28,7000	0,288
28,7250	0,297
28,7500	0,298
28,7750	0,293
28,8000	0,293
28,8250	0,298
28,8500	0,300
28,8750	0,289
28,9000	0,291
28,9250	0,300
28,9500	0,300
28,9750	0,298
29,0000	0,297
29,0250	0,296
29,0500	0,297
29,0750	0,291
29,1000	0,293
29,1250	0,302
29,1500	0,302
29,1750	0,300
29,2000	0,302
29,2250	0,299
29,2500	0,301
29,2750	0,302
29,3000	0,303
29,3250	0,299
29,3500	0,299
29,3750	0,300
29,4000	0,302
29,4250	0,304
29,4500	0,305
29,4750	0,302
29,5000	0,303
29,5250	0,304
29,5500	0,304
29,5750	0,301
29,6000	0,303
29,6250	0,311
29,6500	0,311
29,6750	0,304
29,7000	0,304
29,7250	0,304
29,7500	0,306
29,7750	0,305
29,8000	0,308
29,8250	0,305
29,8500	0,305
29,8750	0,306
29,9000	0,306
29,9250	0,311
29,9500	0,311
29,9750	0,310
30,0000	0,310
30,0250	0,311
30,0500	0,309
30,0750	0,305
30,1000	0,309
30,1250	0,314
30,1500	0,316
30,1750	0,313
30,2000	0,311
30,2250	0,314
30,2500	0,314
30,2750	0,311
30,3000	0,313
30,3250	0,314
30,3500	0,314
30,3750	0,311
30,4000	0,311
30,4250	0,317
30,4500	0,319
30,4750	0,314
30,5000	0,317
30,5250	0,318
30,5500	0,319
30,5750	0,320
30,6000	0,319
30,6250	0,319
30,6500	0,319
30,6750	0,322
30,7000	0,319
30,7250	0,321
30,7500	0,320
30,7750	0,319
30,8000	0,317
30,8250	0,319
30,8500	0,320
30,8750	0,322
30,9000	0,325
30,9250	0,323
30,9500	0,320
30,9750	0,322
31,0000	0,322
31,0250	0,325
31,0500	0,322
31,0750	0,322
31,1000	0,323
31,1250	0,325
31,1500	0,327
31,1750	0,330
31,2000	0,328
31,2250	0,326
31,2500	0,327
31,2750	0,327
31,3000	0,328
31,3250	0,327
31,3500	0,331
31,3750	0,331
31,4000	0,328
31,4250	0,330
31,4500	0,328
31,4750	0,330
31,5000	0,009
31,5250	0,010
31,5500	0,004
31,5750	0,006
31,6000	0,005
31,6250	0,003
31,6500	0,005
31,6750	0,007
31,7000	0,008
31,7250	0,009
31,7500	0,005
31,7750	0,005
31,8000	0,007
31,8250	0,009
31,8500	0,002
31,8750	0,004
31,9000	0,009
31,9250	0,010
31,9500	0,005
31,9750	0,007
32,0000	0,006
32,0250	0,005
32,0500	0,000
32,0750	0,002
32,1000	0,010
32,1250	0,010
32,1500	0,007
32,1750	0,009
32,2000	0,004
32,2250	0,005
32,2500	0,003
32,2750	0,003
32,3000	0,004
32,3250	0,004
32,3500	0,008
32,3750	0,010
32,4000	0,007
32,4250	0,006
32,4500	0,005
32,4750	0,007
32,5000	0,003
32,5250	0,004
32,5500	0,000
32,5750	0,001
32,6000	0,007
32,6250	0,008
32,6500	0,007
32,6750	0,006
32,7000	0,007
32,7250	0,008
32,7500	0,005
32,7750	0,005
32,8000	0,007
32,8250	0,005
32,8500	0,005
32,8750	0,006
32,9000	0,007
32,9250	0,008
32,9500	0,005
32,9750	0,004
33,0000	0,007
33,0250	0,007
33,0500	0,005
33,0750	0,005
33,1000	0,006
33,1250	0,010
33,1500	0,002
33,1750	0,003
33,2000	0,008
33,2250	0,007
33,2500	6,104E-4
33,2750	0,002
33,3000	0,008
33,3250	0,008
33,3500	0,005
33,3750	0,005
33,4000	0,008
33,4250	0,009
33,4500	0,002
33,4750	0,002
33,5000	0,004
33,5250	0,006
33,5500	0,004
33,5750	0,004
33,6000	0,001
33,6250	0,003
33,6500	6,104E-4
33,6750	0,005
33,7000	0,004
33,7250	0,003
33,7500	0,006
33,7750	0,007
33,8000	0,004
33,8250	0,005
33,8500	0,007
33,8750	0,008
33,9000	0,004
33,9250	0,005
33,9500	0,005
33,9750	0,007
34,0000	0,005
34,0250	0,004
34,0500	0,004
34,0750	0,006
34,1000	0,003
34,1250	0,005
34,1500	0,007
34,1750	0,005
34,2000	0,007
34,2250	0,007
34,2500	0,004
34,2750	0,005
34,3000	0,007
34,3250	0,006
34,3500	0,009
34,3750	0,009
34,4000	0,004
34,4250	0,004
34,4500	0,004
34,4750	0,005
34,5000	0,004
34,5250	0,004
34,5500	0,008
34,5750	0,009
34,6000	0,002
34,6250	0,003
34,6500	0,004
34,6750	0,007
34,7000	0,009
34,7250	0,008
34,7500	0,005
34,7750	0,007
34,8000	0,004
34,8250	0,005
34,8500	0,002
34,8750	0,004
34,9000	0,005
34,9250	0,007
34,9500	0,002
34,9750	0,005
35,0000	0,006
35,0250	0,005
35,0500	0,005
35,0750	0,006
35,1000	0,006
35,1250	0,007
35,1500	0,004
35,1750	0,006
35,2000	0,005
35,2250	0,006
35,2500	0,004
35,2750	0,005
35,3000	0,007
35,3250	0,005
35,3500	0,004
35,3750	0,005
35,4000	0,007
35,4250	0,009
35,4500	0,005
35,4750	0,007
35,5000	0,005
35,5250	0,005
35,5500	0,007
35,5750	0,007
35,6000	0,007
35,6250	0,010
35,6500	0,004
35,6750	0,005
35,7000	0,002
35,7250	0,001
35,7500	0,005
35,7750	0,006
35,8000	0,003
35,8250	0,004
35,8500	0,005
35,8750	0,008
35,9000	0,001
35,9250	0,004
35,9500	0,004
35,9750	0,005
36,0000	0,009
36,0250	0,005
36,0500	0,005
36,0750	0,009
36,1000	0,007
36,1250	0,004
36,1500	0,004
36,1750	0,006
36,2000	0,009
36,2250	0,004
36,2500	0,008
36,2750	0,004
36,3000	0,006
36,3250	0,006
36,3500	0,006
36,3750	0,007
36,4000	0,007
36,4250	0,004
36,4500	0,005
36,4750	0,003
36,5000	0,005
36,5250	0,004
36,5500	0,006
36,5750	0,004
36,6000	0,007
36,6250	0,007
36,6500	0,006
36,6750	0,004
36,7000	0,004
36,7250	0,005
36,7500	0,008
36,7750	0,003
36,8000	0,005
36,8250	0,005
36,8500	0,007
36,8750	0,005
36,9000	0,005
36,9250	0,010
36,9500	0,011
36,9750	0,007
37,0000	0,010
37,0250	0,006
37,0500	0,009
37,0750	0,006
37,1000	0,007
37,1250	0,007
37,1500	0,006
37,1750	0,005
37,2000	0,005
37,2250	0,006
37,2500	0,006
37,2750	0,005
37,3000	0,009
37,3250	0,006
37,3500	0,007
37,3750	0,011
37,4000	0,010
37,4250	0,004
37,4500	0,005
37,4750	0,007
37,5000	0,008
37,5250	0,004
37,5500	0,005
37,5750	0,007
37,6000	0,007
37,6250	0,005
37,6500	0,005
37,6750	0,007
37,7000	0,005
37,7250	0,007
37,7500	0,007
37,7750	0,009
37,8000	0,009
37,8250	0,004
37,8500	0,005
37,8750	0,006
37,9000	0,009
37,9250	0,004
37,9500	0,005
37,9750	0,004
38,0000	0,005
38,0250	0,005
38,0500	0,005
38,0750	0,003
38,1000	0,004
38,1250	0,005
38,1500	0,005
38,1750	0,005
38,2000	0,005
38,2250	0,004
38,2500	0,003
38,2750	0,007
38,3000	0,005
38,3250	0,007
38,3500	0,007
38,3750	0,008
38,4000	0,009
38,4250	0,010
38,4500	0,011
38,4750	0,002
38,5000	0,003
38,5250	0,010
38,5500	0,009
