Voltage, ChA, Run #4
Time ( s )	Voltage ( V )
16,8250	0,150
16,8500	0,150
16,8750	0,148
16,9000	0,149
16,9250	0,148
16,9500	0,154
16,9750	0,151
17,0000	0,153
17,0250	0,152
17,0500	0,153
17,0750	0,152
17,1000	0,155
17,1250	0,154
17,1500	0,156
17,1750	0,155
17,2000	0,156
17,2250	0,155
17,2500	0,156
17,2750	0,156
17,3000	0,157
17,3250	0,154
17,3500	0,156
17,3750	0,156
17,4000	0,157
17,4250	0,156
17,4500	0,158
17,4750	0,157
17,5000	0,158
17,5250	0,157
17,5500	0,157
17,5750	0,156
17,6000	0,159
17,6250	0,159
17,6500	0,157
17,6750	0,155
17,7000	0,162
17,7250	0,161
17,7500	0,161
17,7750	0,161
17,8000	0,161
17,8250	0,159
17,8500	0,162
17,8750	0,161
17,9000	0,160
17,9250	0,160
17,9500	0,162
17,9750	0,161
18,0000	0,163
18,0250	0,162
18,0500	0,163
18,0750	0,161
18,1000	0,164
18,1250	0,163
18,1500	0,165
18,1750	0,163
18,2000	0,167
18,2250	0,165
18,2500	0,167
18,2750	0,165
18,3000	0,165
18,3250	0,165
18,3500	0,165
18,3750	0,163
18,4000	0,168
18,4250	0,166
18,4500	0,164
18,4750	0,166
18,5000	0,165
18,5250	0,165
18,5500	0,167
18,5750	0,170
18,6000	0,167
18,6250	0,167
18,6500	0,167
18,6750	0,169
18,7000	0,168
18,7250	0,170
18,7500	0,167
18,7750	0,170
18,8000	0,169
18,8250	0,168
18,8500	0,170
18,8750	0,171
18,9000	0,169
18,9250	0,171
18,9500	0,172
18,9750	0,172
19,0000	0,169
19,0250	0,173
19,0500	0,172
19,0750	0,172
19,1000	0,172
19,1250	0,172
19,1500	0,171
19,1750	0,173
19,2000	0,175
19,2250	0,173
19,2500	0,171
19,2750	0,175
19,3000	0,173
19,3250	0,174
19,3500	0,176
19,3750	0,175
19,4000	0,173
19,4250	0,177
19,4500	0,176
19,4750	0,176
19,5000	0,176
19,5250	0,178
